DateTime,Entries,UniqueIPs
1532945793,28168,28168
1532946740,28043,28043
1532947698,28176,28176
1532948665,28094,28094
1532949611,28243,28243
1532950593,28146,28146
1532951575,28172,28172
1532952499,28171,28171
1532953468,28326,28326
1532954414,28232,28232
1532955391,28377,28377
1532956338,28263,28263
1532957303,28241,28241
1532958291,28243,28243
1532959234,28217,28217
1532960187,28156,28156
1532961142,28300,28300
1532962099,28298,28298
1532963067,28308,28308
1532964015,28350,28350
1532964997,28307,28307
1532965952,28362,28362
1532966931,28340,28340
1532967863,28375,28375
1532968815,28425,28425
1532969793,28462,28462
1532970758,28461,28461
1532971717,28448,28448
1532972664,28437,28437
1532973647,28438,28438
1532974581,28414,28414
1532975545,28332,28332
1532976499,28301,28301
1532977462,28359,28359
1532978423,28071,28071
1532979394,28028,28028
1532980351,27947,27947
1532981299,27882,27882
1532983255,27862,27862
1532984170,27828,27828
1532985144,27842,27842
1532986105,27793,27793
1532987091,27792,27792
1532988026,27770,27770
1532988975,27739,27739
1532989958,27706,27706
1532990916,27720,27720
1532991875,27640,27640
1532992840,27611,27611
1532993793,27603,27603
1532994763,27586,27586
1532995699,27544,27544
1532996671,27501,27501
1532997629,27480,27480
1532998599,27486,27486
1532999562,27508,27508
1533000505,27626,27626
1533001472,27405,27405
1533002481,27342,27342
1533003384,27466,27466
1533004345,27324,27324
1533005299,27265,27265
1533006268,27370,27370
1533007209,27158,27158
1533008209,27150,27150
1533009134,27268,27268
1533010110,27003,27003
1533011069,26985,26985
1533012019,27092,27092
1533012997,26888,26888
1533013967,26863,26863
1533014914,26870,26870
1533015860,27006,27006
1533016826,27019,27019
1533017803,26752,26752
1533018737,26802,26802
1533019701,26613,26613
1533020660,26752,26752
1533021623,26742,26742
1533022572,26748,26748
1533023581,26586,26586
1533024496,26833,26833
1533025521,26667,26667
1533026410,26658,26658
1533026679,26553,26553
1533027393,26540,26540
1533027860,26466,26466
1533028360,26456,26456
1533028817,26336,26336
1533029298,26331,26331
1533029794,26281,26281
1533030262,26294,26294
1533030729,26348,26348
1533031250,26345,26345
1533031731,26421,26421
1533032189,26433,26433
1533032676,26478,26478
1533033411,26501,26501
1533033869,26552,26552
1533034362,26566,26566
1533034819,26657,26657
1533035301,26659,26659
1533035793,26733,26733
1533036253,26731,26731
1533036740,26768,26768
1533037239,26771,26771
1533037697,26791,26791
1533038203,26792,26792
1533038682,26922,26922
1533039164,26909,26909
1533039623,26819,26819
1533040093,26814,26814
1533040589,26710,26710
1533041061,26696,26696
1533041557,26627,26627
1533042031,26618,26618
1533042497,26548,26548
1533043007,26551,26551
1533043461,26624,26624
1533043960,26630,26630
1533044414,26712,26712
1533044924,26720,26720
1533045394,26796,26796
1533045890,26794,26794
1533046338,26928,26928
1533046813,26935,26935
1533047327,27008,27008
1533047792,27021,27021
1533048295,27078,27078
1533049005,27091,27091
1533049487,27124,27124
1533050045,27124,27124
1533050415,27115,27115
1533051132,27117,27117
1533051388,27326,27326
1533052109,27329,27329
1533052587,27267,27267
1533053098,27271,27271
1533053564,27351,27351
1533054036,27354,27354
1533054492,27403,27403
1533055233,27404,27404
1533055490,27442,27442
1533056448,27444,27444
1533057374,27477,27477
1533058349,27513,27513
1533059303,27551,27551
1533060270,27512,27512
1533061217,27574,27574
1533062175,27614,27614
1533063151,27651,27651
1533064123,28904,28904
1533065056,28952,28952
1533066019,29027,29027
1533067526,29063,29063
1533068661,29092,29092
1533069611,29260,29260
1533070589,29152,29152
1533071678,29182,29182
1533072755,29256,29256
1533073712,29250,29250
1533074683,29298,29298
1533075622,29350,29350
1533076590,29361,29361
1533077548,29411,29411
1533078496,29437,29437
1533079473,29449,29449
1533080411,29468,29468
1533081369,29497,29497
1533082363,29534,29534
1533083305,29561,29561
1533084269,29608,29608
1533085234,29613,29613
1533086181,29655,29655
1533087164,29664,29664
1533088093,29686,29686
1533089068,29734,29734
1533090012,29745,29745
1533091006,29762,29762
1533091947,29765,29765
1533092917,29812,29812
1533093857,29841,29841
1533094815,29855,29855
1533095777,29905,29905
1533096735,29970,29970
1533097702,29983,29983
1533098682,30038,30038
1533099628,30056,30056
1533100593,30090,30090
1533101541,30151,30151
1533102500,30207,30207
1533103468,30324,30324
1533104414,30437,30437
1533105390,30467,30467
1533106364,30510,30510
1533107294,30556,30556
1533108254,30615,30615
1533109214,30637,30637
1533110215,30621,30621
1533111136,30548,30548
1533112116,30692,30692
1533113069,30842,30842
1533114042,30974,30974
1533114975,31122,31122
1533115937,31230,31230
