DateTime,AddedIPs,RemovedIPs
1531453461,2,0
1531455635,0,2
1531468361,0,1
1531472195,0,1
1531479884,1,0
1531483734,0,1
1531485632,1,0
1531493549,1,1
1531495471,0,1
1531497369,1,0
1531499291,1,0
1531516593,29360,9
1531520429,206,0
1531522385,1,0
1531531060,3,0
1531542594,1,0
1531545410,1,0
1531574962,2,0
1531577874,1,0
1531581651,1,0
1531591996,1,0
1531610225,1,0
1531612135,4,0
1531616006,9,0
1531620348,5,0
1531622495,1,0
1531648402,1,0
1531669775,1,0
1531671910,6,0
1531675256,12,0
1531683443,1,0
1531685378,1,0
1531748923,1,0
1531752792,1,0
1531758771,1,0
1531794317,1,0
1531807022,4,0
1531812168,1,0
1531828623,1,0
1531865566,0,29620
1531871300,2,0
1531873216,1,0
1531880914,0,1
1531886658,2,0
1531892443,0,4
1531894363,3,1
1531900106,1,1
1531903940,1,0
1531907796,1,0
1531915468,0,1
1531942628,1,0
1531944526,0,1
1531954115,1,0
1531957984,0,2
1531959860,0,1
1531973333,0,2
1531977419,4,0
1531979307,0,2
1531981269,0,1
1531985295,0,1
1531989169,1,1
1531992995,0,1
1531994916,2,0
1532002603,3,0
1532006417,1,0
1532010289,2,0
1532012186,1,0
1532014100,2,0
1532019907,2,0
1532025631,1,0
1532027455,1,0
1532029455,0,1
1532037404,1,0
1532041233,0,1
1532045342,1,0
1532047229,1,0
1532053219,1,0
1532057065,2,0
1532059009,2,0
1532061153,2,0
1532063090,0,3
1532064990,0,1
1532076504,1,1
1532078483,1,0
1532080359,0,1
1532082296,0,1
1532088064,1,3
1532089957,1,0
1532091882,1,1
1532095718,1,2
1532097626,1,0
1532099560,42,1
1532101466,0,2
1532103388,2,0
1532105322,1,1
1532107241,0,1
1532109163,3,0
1532111062,21,1
1532112997,0,1
1532116885,1,0
1532118764,2,0
1532120675,1,0
1532124510,0,1
1532126425,1,0
1532128594,3,0
1532132424,2,1
1532134345,1,1
1532140101,0,1
1532142274,0,2
1532146356,0,2
1532148334,0,2
1532163915,0,1
1532165787,0,1
1532175458,0,1
1532177306,0,1
1532179276,0,1
1532181148,0,1
1532184983,0,41
1532186976,0,2
1532190837,0,2
1532192669,0,1
1532194638,1,3
1532196513,0,5
1532198474,0,16
1532202739,0,1
1532204655,0,1
1532206602,0,2
1532212356,0,1
1532214526,0,3
1532218364,0,2
1532222202,0,1
1532231796,21,0
1532237807,2,0
1532245462,1,0
1532247395,1,0
1532251477,4,0
1532253380,1,0
1532257464,1,0
1532261311,1,0
1532268981,4,0
1532270918,2,0
1532280745,2,1
1532282681,3,0
1532284572,2,0
1532286517,2,0
1532288425,21,0
1532302119,1,0
1532313634,2,0
1532315563,2,0
1532317500,2,21
1532321302,1,0
1532323225,0,1
1532325138,0,1
1532330898,2,1
1532332850,0,1
1532334755,1,0
1532336658,0,1
1532338584,0,3
1532341425,0,1
1532343374,0,1
1532347270,0,1
1532349141,1,0
1532355155,0,4
1532359002,0,2
1532366898,0,2
1532368888,0,3
1532370764,0,2
1532372657,20,2
1532374578,13,21
1532376687,5,0
1532379763,1,0
1532381772,1,0
1532383979,2,0
1532387799,0,1
1532389712,1,0
