DateTime,AddedIPs,RemovedIPs
1532964724,79,0
1532965324,78,79
1532965923,21,0
1532966523,80,76
1532967124,79,0
1532967725,75,77
1532968924,72,78
1532969523,72,51
1532970123,75,0
1532971323,77,157
1532972524,74,146
1532973724,75,156
1532974323,74,0
1532974923,75,52
1532976123,77,77
1532976723,77,0
1532977324,74,80
1532977924,73,0
1532978523,77,158
1532979723,77,50
1532980923,78,59
1532981523,77,18
1532982722,78,159
1532983323,72,23
1532984522,74,76
1532985723,80,149
1532986323,80,73
1532986923,80,78
1532987523,80,0
1532988123,60,73
1532988723,80,67
1532989323,76,74
1532990524,80,0
1532991124,75,152
1532991723,80,78
1532992324,79,76
1532992924,80,76
1532993524,75,0
1532994124,75,153
1532995323,68,0
1532995923,75,71
1532996523,80,76
1532997124,78,78
1532997723,79,135
1532998324,77,0
1532998924,78,74
1532999523,80,0
1533000123,79,150
1533000724,79,0
1533001324,79,151
1533001923,79,0
1533002523,78,0
1533003123,79,156
1533003723,77,0
1533004324,76,80
1533004924,80,74
1533005523,78,78
1533006123,78,77
1533007324,79,79
1533007923,79,79
1533008524,78,0
1533009723,77,231
1533010323,76,0
1533010923,77,78
1533011523,76,79
1533012123,76,74
1533012723,78,0
1533013323,77,78
1533013924,78,75
1533014524,77,0
1533015123,80,155
1533015723,60,77
1533016923,77,0
1533018123,80,238
1533019323,79,0
1533019924,76,78
1533020523,75,78
1533021724,75,151
1533022923,73,78
1533024124,74,156
1533025324,74,152
1533025924,77,0
1533026523,73,76
1533027124,74,0
1533027723,76,0
1533028923,73,73
1533030123,77,76
1533031323,59,160
1533031924,79,0
1533032523,79,79
1533033124,80,79
1533033724,80,0
1533034923,74,153
1533036124,78,151
1533036723,80,0
1533037323,78,77
1533037923,80,77
1533038523,76,73
1533039723,10,0
1533040924,77,138
1533042123,78,0
1533042723,78,156
1533043323,70,0
1533043923,74,80
1533044523,74,76
1533045123,74,0
1533045723,16,0
1533046923,21,139
1533047524,48,151
1533048123,80,77
1533048724,79,72
1533049324,78,0
1533049923,77,74
1533050524,78,0
1533051723,65,228
1533052324,78,79
1533052923,59,0
1533054123,77,232
1533054723,80,0
1533055323,72,0
1533055924,79,78
1533056523,76,151
1533057723,76,74
1533058923,77,0
1533059523,77,79
1533060124,77,0
1533061323,78,228
1533062523,74,0
1533063123,76,76
1533063724,78,141
1533064323,80,71
1533064924,78,0
1533065523,75,75
1533067323,53,152
1533068524,78,79
1533069724,78,73
1533070923,72,153
1533072124,74,75
1533073323,30,76
1533073923,80,72
1533074523,80,159
1533075724,80,78
1533076924,14,159
1533078124,60,75
1533078723,79,125
1533079324,75,0
1533080524,58,155
1533081724,60,154
1533082924,80,61
1533084124,79,160
1533085323,75,156
1533086524,79,158
1533087723,80,139
1533088923,79,160
1533090123,51,160
1533090723,78,91
1533091323,77,0
1533091923,74,79
1533092523,73,149
1533093123,71,0
1533093724,78,79
1533094924,75,74
1533095523,72,78
1533096124,70,0
1533097323,75,158
1533098524,79,238
1533099724,72,78
1533100923,73,198
1533102124,79,158
1533102724,76,0
1533103323,78,79
1533103924,75,0
1533104524,75,0
1533105124,75,44
1533105724,75,74
1533106923,80,77
1533107524,78,52
1533108123,80,0
1533108724,80,76
1533109323,78,0
1533109923,80,71
1533110524,75,79
1533111723,80,0
1533112324,76,77
1533112924,80,159
1533113523,57,79
1533114123,78,79
1533115324,80,72
1533116523,35,0
1533117123,80,73
1533117723,78,0
1533118324,80,80
1533118924,77,76
1533120124,73,148
1533121323,71,30
1533121924,75,0
1533122524,77,0
1533123123,77,79
1533124323,77,232
1533124923,75,11
1533126123,77,79
1533127323,74,0
1533128523,76,158
1533129124,79,0
1533129723,75,80
1533130923,73,153
1533131523,75,54
1533132123,71,80
1533133325,74,152
1533134524,72,79
1533135124,80,80
1533135723,80,55
1533136923,80,237
1533137523,77,0
1533138123,78,0
1533138724,78,156
1533139323,80,0
1533139924,80,76
1533140523,80,0
1533141124,78,79
1533141723,78,157
1533142923,77,79
1533144124,73,143
1533144723,79,0
1533145323,71,76
1533146523,77,152
1533147124,76,0
1533147724,66,0
1533148923,80,149
1533149523,78,75
1533150123,77,0
1533151323,78,228
1533151924,80,75
1533152523,80,0
1533153123,77,0
1533153723,72,0
1533154923,80,76
1533156123,80,151
1533156723,42,0
1533157324,64,0
1533157924,77,80
1533158523,51,63
1533159123,77,0
1533159723,80,0
1533160323,58,125
1533160923,80,60
1533162123,74,0
1533162723,75,78
1533163323,78,0
1533164524,79,152
1533165123,79,73
1533166323,71,78
1533166923,78,78
1533168123,77,79
1533168724,80,0
1533169323,79,0
1533170523,76,155
1533171723,76,79
1533172323,72,0
1533172923,75,0
1533173524,77,79
1533174123,73,0
1533174723,73,74
1533175323,77,76
1533176525,75,0
1533177723,77,235
1533178922,75,73
1533179524,77,148
1533180123,74,77
1533181322,74,0
1533182523,75,224
1533183723,59,76
1533184323,79,0
1533184924,79,0
1533185523,49,77
1533186123,78,79
1533186723,26,0
1533187324,25,77
1533188523,52,0
1533189724,25,221
1533190923,10,157
1533191523,80,77
1533192124,77,0
1533193324,80,135
1533193924,79,0
1533194524,78,157
1533195124,74,0
1533195723,75,159
1533196325,75,0
1533196924,77,160
1533198124,76,0
1533198724,75,156
1533199324,79,77
1533199923,80,0
1533200524,75,119
1533201124,78,0
1533201724,79,80
1533202923,77,78
1533203523,79,0
1533204124,80,130
1533204724,74,0
1533205323,75,153
1533206523,78,0
1533207123,76,76
1533207723,74,75
1533208323,78,75
1533208923,77,0
1533210123,76,152
1533210723,74,0
1533211323,76,78
1533212523,77,146
1533213723,75,74
1533214923,73,0
1533216124,80,218
1533217323,77,73
1533217923,80,80
1533218523,78,78
1533219723,79,0
1533220922,80,124
1533222123,79,80
1533222724,80,10
1533223324,77,0
1533224523,68,155
1533225124,62,0
1533225725,75,105
1533226323,79,26
1533226923,80,78
1533228124,65,50
1533229324,79,141
1533230524,64,77
1533231723,78,56
1533232924,77,138
1533233523,41,77
1533234124,32,77
1533235323,80,0
1533236523,79,229
1533237723,80,0
1533238324,77,157
1533238923,78,31
1533239524,77,0
1533240124,79,80
1533241323,71,160
1533242523,79,79
1533243124,80,42
1533243724,80,37
1533244923,78,160
1533245523,77,74
1533246123,77,78
1533247323,53,80
1533247923,80,77
1533248523,79,77
1533249723,79,80
